,M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元)
公司,2016/9/30,2016/6/30,2016/3/31,2015/12/31,2015/9/30,2015/6/30,2015/3/31,2014/12/31,2014/9/30,2014/6/30,2014/3/31,2013/12/31,2013/9/30,2013/6/28,2013/3/29,2012/12/28,2012/9/28,2012/6/29,2012/3/30
1565 精華,25.66,16.83,8.11,28.88,20.75,11.4,5.7,31.2,23.91,17.31,9.93,31.7,22.97,14.86,7.42,23.88,17,10.63,5.02
1566 捷邦,0.23,0.04,-0.04,2.21,0.66,0.23,0.11,0.5,0.05,-0.57,-0.28,0.05,0.5,0.15,0.47,0.4,0.89,-0.01,-0.25
1568 倉佑,1.09,0.77,0.39,1.34,0.91,0.42,0.13,1.18,0.81,0.54,0.43,0.93,0.53,0.29,0.14,1.29,,0.73,
1569 濱川,0.97,0.17,-0.21,-3.54,-3.99,-3.01,-1.24,-0.79,-0.62,-0.69,-0.74,-0.49,-0.59,0.03,0.06,1.68,1.62,1.5,0.83
1570 力肯,0.58,0.37,0.28,1.68,1.57,0.77,0.38,1.49,1.37,1.03,0.3,1.59,1.14,0.86,0.49,-0.02,-0.05,-0.07,0
1580 新麥,7.81,4.24,1.13,9.72,6.38,3.67,1.64,11.13,7.42,4.4,1.25,11.05,7.46,3.98,1.4,9.35,6.39,4.12,1.64
1582 信錦,4.38,2.38,1.02,5.28,4.06,2.22,1.06,5.71,4.03,2.43,0.84,4.43,3.42,2,0.91,5.27,4.26,2.73,1.38
1583 程泰,1.21,1,0.55,6.21,4.95,2.11,1.28,6.88,4.01,2.49,1.2,4.05,2.79,1.96,1.13,4.2,3.64,2.68,1.28
1584 精剛,0.03,0.02,-0.08,-1.12,-0.25,-0.01,-0.06,-0.57,-0.68,-0.61,-0.32,-2.16,-1.64,-1.24,-0.59,-1,-0.46,-0.07,0.06
1586 和勤,-1.03,-0.64,0,-0.27,-0.64,-0.3,0.06,1.24,0.9,0.6,0.45,0.8,0.38,0.28,0.17,0.17,-0.09,0.07,-0.27
1589 永冠-KY,6.62,5.28,2.51,12.24,8.42,5.1,2.22,9.78,7.22,5.04,2.06,5.36,3.92,2.07,0.84,3.79,2.73,1.88,1.11
1590 亞德客-KY,8.87,5.83,2.45,7.64,5.93,4.48,1.45,10.39,8.07,5.85,2.24,10.55,8.06,5.01,1.75,7.36,5.71,3.79,1.57
1591 駿吉-KY,1.21,0.78,0.25,1.3,1.1,0.94,0.69,1.51,1.16,0.95,0.47,2.02,1.49,1.25,0.62,3.02,2.34,1.63,0.8
1592 英瑞-KY,3.73,2.52,1.23,1.91,1.76,0.89,0.48,1.83,1.36,1.15,0.48,4.76,1.29,0.69,0.17,4.92,,,
1593 祺驊,2.3,1.37,0.53,3.21,1.98,0.72,0.54,2.3,1.71,0.72,0.45,1.83,1.28,0.56,0.47,1.77,1.14,0.59,0.14
1595 川寶,1.3,0.86,0.36,5.43,5.17,3.05,1.73,7.58,7.73,4.95,2.39,6.22,5.79,4.04,1.78,6.61,5.6,3.17,0.98
1597 直得,1.08,0.94,0.35,1.26,0.89,0.11,-0.33,0.35,0.31,0.16,-0.06,1.05,1.07,0.73,0.18,1.46,1.71,1.21,0.87
1598 岱宇,1.5,1.28,0.9,3.13,1.8,-0.11,0.22,4.02,,0.82,,0.35,,0.13,,0.36,,-1.53,
1599 宏佳騰,3.87,1.66,1.19,6.85,4.09,1.39,-0.06,1.5,0.46,-0.34,-0.22,3.03,2.1,0.2,-0.65,4.17,2.22,0.61,0.25
1603 華電,1.46,0.66,0.34,1.96,1.08,0.56,0.39,0.88,0.47,0.33,0.12,0.87,0.58,0.31,0.04,1.33,0.98,0.36,0.22
1604 聲寶,1.53,1.25,0.51,1,0.93,0.67,0.29,1.25,1.15,0.69,0.31,0.8,0.95,0.56,0.23,0.94,0.91,0.64,0.35
1605 華新,0.97,0.56,0.26,0.45,0.33,0.14,-0.06,0.64,0.59,0.14,-0.05,-0.77,0.22,0.1,0.02,-0.94,-1.03,-0.37,-0.19
1608 華榮,0.15,-0.07,-0.01,-0.33,-0.49,-0.07,-0.04,-0.02,0.16,0.12,-0.01,0.95,0.07,-0.2,0.5,1.11,1.04,0.59,0.48
1609 大亞,0.03,-0.19,-0.26,-0.97,-0.84,-0.39,-0.15,0.04,-0.03,0.01,-0.09,0.25,-0.07,-0.16,0.06,0.22,0.3,0.02,0.2
1611 中電,-0.19,-0.11,-0.01,0.03,0.19,-0.47,-0.11,-0.69,0,0,0.01,-1.35,0.03,0.02,0.2,0.25,0.14,0.71,0.35
1612 宏泰,0.22,0.05,0.01,0.13,0.11,0.14,0.07,0.77,0.65,0.51,0.28,0.16,0.11,0.03,0.07,0.22,0.57,0.36,0.32
1613 台一,-0.2,-0.09,-0.16,-3.48,-1.8,-1.07,-0.92,-1.03,-0.87,-0.6,-0.43,-0.83,-0.88,-0.77,-0.52,-0.25,-0.01,0.28,0.62
1614 三洋電,1.14,0.79,0.27,0.99,0.77,0.45,0.03,0.87,0.65,0.34,0.02,0.84,0.51,0.28,0.06,0.99,0.7,0.51,0.28
1615 大山,0.47,0.19,-0.09,0.14,0.16,0,0,0.74,0.61,0.6,0.32,0.27,0.08,0.11,0.07,0.76,0.62,0.62,0.27
1616 億泰,0.25,0.1,-0.05,1.01,1.15,1.65,1.92,-1,-0.61,-0.49,-0.54,0.02,0.03,0.13,0.31,0.07,0.2,0.1,0.08
1617 榮星,0.23,0.07,0.01,0.39,0.24,0,0.01,0.35,0.32,0.15,0.15,0.12,0.21,0.05,0.12,-0.62,-0.51,-0.4,-0.27
1618 合機,0.17,0.18,-0.05,0.45,-0.11,-0.25,-0.18,-0.06,-0.01,-0.17,-0.06,-0.27,-0.15,-0.13,0.02,1.19,0.98,0.35,-0.03
1626 艾美特-KY,1.67,2.22,0.28,-0.77,0.04,1.18,0.06,-2.71,-1.93,-1.65,-1.93,5.1,4.68,4.4,2.35,4.63,4.18,4.13,
1701 中化,0.94,0.72,0.35,1.19,1.09,0.69,0.35,1.17,0.74,0.53,0.23,0.81,0.7,0.46,0.14,1.08,0.87,0.69,0.35
1702 南僑,3.77,2.55,1.16,4.49,3.31,2.4,1.17,3.82,2.88,1.93,0.84,3.44,2.49,1.44,0.6,1.8,1.23,0.65,0.31
1704 榮化,3.35,2.25,0.99,11.69,10.15,1.08,0.38,-9.76,-9.2,-9.2,-0.27,-0.26,0.64,0.46,0.63,0.75,0.74,0.58,0.5
1707 葡萄王,6.96,4.44,2.17,8.07,5.71,3.7,1.83,7.24,5,3.11,1.49,6.42,4.45,2.87,1.33,4.75,3.45,2.21,1.17
1708 東鹼,1.56,0.98,0.55,2.48,3.37,2.16,1.21,3.73,2.87,1.9,1.06,2.62,1.97,1.39,0.99,2.88,2.02,1.27,0.98
1709 和益,1.5,1.03,0.44,1.48,1.26,0.68,0.16,0.43,0.38,0.34,0.23,0.69,0.54,0.42,0.26,0.95,0.92,0.68,0.34
1710 東聯,-0.72,-0.39,-0.11,-0.14,0.26,0.52,0.05,0.13,0.31,0.14,0.06,1.45,1.05,0.43,0.26,1.32,0.93,0.59,0.65
1711 永光,0.79,0.53,0.3,1.08,0.86,0.5,0.29,1.16,1.18,0.88,0.4,1.24,0.92,0.52,0.19,1.11,0.88,0.51,0.22
1712 興農,1.13,0.88,0.46,1.03,0.44,0.39,0.04,1.51,1.2,0.97,0.61,1.37,1.01,0.63,0.43,1.21,0.85,0.5,0.32
1713 國化,0.46,0.31,0.12,0.46,0.35,0.23,0.12,0.61,0.42,0.26,0.11,0.51,0.34,0.22,0.08,0.52,0.32,0.26,0.05
1714 和桐,0.26,0.25,0.1,0.37,0.56,0.22,0,-0.42,0.04,0.07,0.13,0.53,0.43,0.28,0.13,0.72,0.69,0.6,0.35
1715 萬洲,-0.08,0.22,0.18,0.49,0.56,0.25,0.17,1.75,1.59,0.72,0.3,1.38,1.15,0.84,0.33,0.95,0.82,0.62,0.37
1717 長興,1.97,1.3,0.55,2.81,1.94,1.17,0.53,2.26,1.65,0.99,0.36,1.94,1.37,0.77,0.27,1.27,1.05,0.61,0.23
1718 中纖,-0.3,-0.22,-0.1,0.48,0.8,0.65,0.34,0.97,0.55,0.17,0.23,0.85,0.93,0.73,0.6,0.37,0.22,0.22,0.18
1720 生達,1.46,0.85,0.45,1.95,1.52,0.99,0.58,2.09,1.68,1.13,0.54,1.73,1.55,1.24,0.7,1.61,1.23,0.79,0.52
1721 三晃,0.67,0.61,0.28,0.71,0.55,0.25,0.1,0.09,0.08,0.12,0.1,0.06,0.17,0.09,0.05,0,0.1,0.12,0.19
1722 台肥,0.51,0.35,0.08,2.48,1.36,0.18,0.05,3.13,0.24,0.12,0.11,2.59,2.56,2.33,2.3,3.41,1.96,1.18,0.53
1723 中碳,3.16,2.06,1.01,5.37,4.53,3.23,1.7,9.5,7.95,5.31,2.74,9.6,7.46,4.76,2.29,8.58,6.71,4.43,2.31
1724 台硝,1.13,0.7,0.35,1.67,0.72,0.28,0.08,0.32,0.07,-0.19,0.03,0.29,-0.73,0.9,0.52,1.75,1.71,0.99,0.53
1725 元禎,0.86,0.39,0.11,1.11,0.92,0.35,0.19,0.94,0.75,0.28,0.17,0.68,0.5,0.24,0.1,-0.92,0.22,0.02,0.1
1726 永記,4.85,3.19,1.5,5.8,4.43,2.79,1.34,6.39,4.85,3.36,1.58,6.33,4.72,3.13,2.02,5.39,4.55,3.22,1.91
1727 中華化,0.58,0.37,0.16,0.9,0.66,0.44,0.21,1.05,0.7,0.54,0.22,1.09,0.78,0.47,0.25,1.21,0.87,0.68,0.3
1729 必翔,0.22,0.19,0.09,-0.33,-0.07,-0.1,0.01,0.23,0.2,0.2,0.01,-2.56,-1.92,-1.68,-1.48,-1.98,-1.16,-1.04,-0.22
1730 花仙子,2.28,1.4,0.67,2.73,1.9,1.09,0.55,2.14,1.45,0.87,0.4,3.72,1.31,0.77,0.43,1.6,1.1,0.66,0.43
1731 美吾華,0.47,0.21,0.1,0.6,0.42,0.32,0.23,0.61,0.49,0.23,0.14,0.48,0.33,0.22,0.17,0.45,0.39,0.27,0.17
1732 毛寶,-0.29,-0.16,-0.01,-0.2,-0.11,-0.12,-0.02,-0.24,-0.08,0.03,0.09,-0.21,-0.11,-0.01,0.04,-0.01,-0.09,-0.14,-0.08
1733 五鼎,1.34,1.33,0.68,2.66,1.89,0.79,0.37,2.77,1.92,1.29,0.63,3.77,3.46,2.93,1.28,5.4,4.13,3.04,1.53
1734 杏輝,-0.15,-0.12,-0.1,0.09,-0.33,-0.22,-0.16,1.01,0.68,0.88,0.41,2.01,1.8,1.2,0.81,0.81,0.77,0.39,0.15
1735 日勝化,0.6,0.43,0.16,1.25,0.89,0.6,0.24,0.75,0.25,0.04,-0.02,0.69,0.51,0.35,0.11,1.01,0.79,0.27,0.16
1736 喬山,0.49,-0.05,-0.19,1.85,0,-0.72,-0.19,8.73,2.31,1.46,1.41,4.25,0.39,-0.34,0.41,4.28,1.91,0.59,0.52
1737 臺鹽,1.42,0.92,0.34,1.34,1.18,0.58,0.24,1.07,0.81,0.54,0.38,0.46,0.28,0.19,0.15,0.28,0.2,0.16,0.06
1742 台蠟,-1.45,-0.44,-0.25,-1.91,-1.57,-1.11,-0.34,-0.95,-0.86,-0.69,-0.22,-0.43,-0.18,-0.09,0.11,0.24,-0.28,-0.16,-0.2
1752 南光,1.57,1.15,0.65,2.17,1.61,0.91,0.42,0.76,0.26,-0.06,-0.06,-0.1,-0.05,-0.09,0.03,1.28,1.14,0.77,0.32
1762 中化生,0.41,0.23,0.23,3.98,3.17,2.76,2.59,0.19,0.18,0.46,0.15,1.25,1.21,1.12,0.54,2.26,2.16,1.62,0.47
1773 勝一,3.8,2.47,1.12,4.08,2.99,1.93,0.9,3.5,2.6,1.59,0.92,4.05,3.07,2.03,1.03,4.06,3.08,2.12,1.03
1776 展宇,0.97,0.83,0.34,2.1,1.52,0.84,0.28,1.38,1.07,0.56,,1.62,,0.56,,2.61,,0.71,
1777 生泰,3.97,3.15,1.62,5.2,3.81,2.06,1.29,4.93,3.54,2.09,1.14,3.1,2.33,1.83,1.05,1.82,1.58,1.06,0.73
1781 合世,-1.31,-1.1,-0.62,-1.31,-0.71,-0.72,-0.32,-1.11,-0.84,-0.7,-0.14,0.59,0.7,1.34,1.22,1.92,0.75,0.02,-0.48
1783 和康生,-0.22,-0.21,-0.16,-0.89,-0.49,-0.4,-0.18,-0.27,-0.01,0.01,0.04,0.04,0.01,0,-0.04,0.05,,0.12,
1784 訊聯,-0.11,-0.05,0.04,0.47,0.4,0.3,0.19,0.89,0.91,0.71,0.45,1.07,1.13,0.7,0.62,1.3,1.02,0.38,0.45
1785 光洋科,-0.86,-0.77,-2.24,-2.62,-2.25,-1.02,-0.71,-0.02,0.81,0.51,0.08,0.13,0.74,0.42,0.36,2.2,1.68,1.33,0.86
1786 科妍,-0.93,0,-0.01,1.05,0.84,0.36,0.26,-0.41,0.01,0.03,0.02,0.93,0.82,0.41,0.18,1.56,0.86,0.35,0.14
1787 福盈科,1.35,1.01,0.47,1.81,1.32,0.72,0.28,1.69,1.19,0.83,0.34,1.23,0.88,0.61,0.23,0.63,0.51,0.38,0.05
1788 杏昌,4.08,2.55,1.45,6.2,4.62,3.23,1.79,6.28,4.65,2.96,1.39,6.26,4.71,3.01,1.85,5.37,3.27,2.27,1.37
1789 神隆,0.67,0.47,0.24,0.87,0.6,0.35,0.16,0.69,0.68,0.53,0.24,1.88,1.49,1.16,0.54,1.8,1.15,0.65,0.39
1795 美時,0.2,0.34,0.27,0.44,0.31,0.25,-0.13,-2.41,-1.6,-2.42,-2.16,-2.36,-0.67,0.4,0.52,-4.22,-2.63,-2.71,-0.81
1799 易威,-2.28,-1.38,-0.58,-2.34,-1.56,-1.21,-0.72,-2.23,-1.9,-1.38,-1.13,-6.4,-1.7,-1.36,-0.73,-3.57,-2.79,-2.04,-0.65
1802 台玻,-0.5,-0.38,-0.14,-1.97,-1.41,-0.81,-0.51,0.06,-0.22,-0.75,-0.55,-0.38,-0.9,-0.74,-0.4,-0.77,-0.62,-0.43,-0.15
1805 寶徠,-1.03,-0.81,-0.49,1.42,-0.9,-0.66,-0.38,0.11,0.36,0.62,0.61,2.66,-0.45,-0.31,-0.23,1.3,1.1,0.56,0.53
1806 冠軍,-0.02,0.05,-0.25,-0.17,-0.11,-0.24,-0.22,-1.15,-0.79,0.12,-0.2,0.64,0.52,0.15,-0.22,-0.69,-0.46,-0.4,-0.44
1808 潤隆,2.83,0.78,-0.18,4.3,3.36,0.43,0.64,3.73,1.6,0.16,0.07,0.36,-0.07,-0.05,0.08,4.45,4.45,3.48,1.57
1809 中釉,0.62,0.52,0.21,0.39,0.33,0.21,0.15,0.87,0.67,0.39,0.11,0.75,0.59,0.26,-0.04,0.64,0.62,0.34,0.09
1810 和成,0.81,-0.05,-0.1,0.35,0.3,0.18,0.04,0.49,0.49,0.45,0.03,0.49,0.29,0.09,0.05,0.12,0.16,-0.01,-0.02
1813 寶利徠,1.02,0.86,0.41,2.12,1.65,0.84,0.44,2.09,1.43,1.11,0.61,2.13,1.67,1.41,0.79,3.35,2.64,1.74,0.79
1815 富喬,0.73,0.4,0.27,1.04,0.73,0.37,0.19,0.13,-0.06,-0.09,-0.08,0.08,0.23,0.3,0.2,-0.47,0.6,0.59,0.37
1817 凱撒衛,2.28,1.4,0.64,3.18,2.19,1.22,0.58,2.51,1.74,0.99,0.43,2.54,1.72,1.15,0.52,1.87,,0.57,
1902 台紙,0.27,0.12,0.11,0.45,0.46,0.28,0.1,0.05,0.1,-0.07,-0.05,0.04,0.03,0.11,0.03,-0.47,-0.36,-0.23,-0.22
1903 士紙,-0.53,-0.49,-0.22,-0.61,-0.45,-0.44,-0.18,-1.71,-0.82,-0.57,-0.46,-0.66,-0.34,-0.2,-0.17,-0.65,-0.4,-0.29,-0.24
1904 正隆,0.94,0.59,0.18,1.06,0.99,0.78,0.62,0.7,0.4,0.1,-0.2,1.12,0.85,0.62,0.32,1.05,0.77,0.43,0.12
1905 華紙,0.21,0.17,0.07,0.66,0.49,0.26,0.13,0.02,-0.15,-0.12,-0.03,-0.55,-0.4,-0.18,-0.08,-0.29,-0.38,-0.21,-0.25
1906 寶隆,0.7,0.83,-0.18,0.53,0.53,0.57,-0.14,1.18,1.31,1.43,0.82,0,0.05,0.16,-0.07,-0.41,-0.38,-0.21,-0.19
1907 永豐餘,0.07,-0.14,-0.07,0.3,0.34,0.07,-0.1,0.36,0.1,-0.21,-0.2,0.37,0.18,0.04,0.07,0.66,0.51,0.25,0.1
1909 榮成,1.17,0.97,0.3,1.12,0.93,0.62,0.21,1.09,1.1,0.52,-0.02,1.2,0.93,0.64,0.28,0.68,0.26,0.02,0.03
2002 中鋼,0.8,0.37,0.03,0.49,0.59,0.54,0.36,1.43,0.99,0.58,0.24,1.05,0.82,0.57,0.25,0.38,0.25,0.13,-0.05
2006 東和鋼鐵,1.2,0.9,0.21,1.27,0.92,0.77,0.4,1.06,1.14,0.85,0.43,2.12,1.53,1.02,0.51,1.78,1.36,1.08,0.5
2007 燁興,-0.28,-0.12,-0.06,-0.79,-0.63,-0.39,-0.18,-0.99,-0.74,-0.47,-0.27,-1.33,-1.03,-0.68,-0.26,-1.22,-0.79,-0.52,-0.26
2008 高興昌,-0.4,-0.28,-0.12,0.68,-0.61,-0.33,-0.17,-1.34,-1.1,-0.83,-0.2,13.04,12.98,13.12,1.45,-2.09,-1.24,-0.92,-0.48
2009 第一銅,-0.36,-0.21,-0.04,-0.95,-0.82,-0.45,-0.33,0.37,0.38,0.35,-0.11,0.08,0.34,-0.15,0.05,0.05,0.09,0,0.11
2010 春源,0.82,0.57,0.23,1.02,0.43,0.32,0.16,0.72,0.56,0.33,0.14,0.72,0.45,0.27,0.15,0.6,0.45,0.38,0.24
2012 春雨,0.49,0.18,0.01,0.56,0.47,0.14,0.08,0.53,0.27,0.1,0.11,0.54,0.28,0.26,0.14,-0.68,-0.24,-0.06,-0.06
2013 中鋼構,0.36,0.25,0.12,0.9,0.67,0.43,0.16,1.33,0.93,0.61,0.35,2.25,1.71,1.23,0.71,3.06,2.03,1.29,0.7
2014 中鴻,1.05,0.51,0,-0.81,-0.42,-0.78,-0.98,0.15,0.16,0.12,0.11,0.1,-0.12,0.05,0.28,-2.42,-2.12,-0.69,-0.24
2015 豐興,2.54,1.65,0.81,3.45,2.4,1.76,0.81,2.87,2.02,1.37,0.65,2.49,1.74,1.17,0.72,2.78,2.16,1.82,0.58
2017 官田鋼,0.43,0.34,-0.09,-0.59,-0.3,-0.13,-0.18,-0.44,-0.3,-0.21,-0.14,-0.32,-0.27,-0.28,0.13,-1.1,-0.78,-0.14,-0.11
2020 美亞,1.29,0.81,0.32,-1.45,-1.66,0.18,0.06,0.92,0.98,0.65,-0.13,0.68,0.63,0.45,0.3,0.41,0.3,0.23,0.16
2022 聚亨,0,0.02,-0.04,-1.06,-0.69,-0.33,-0.15,0,0.07,0.08,0.07,-0.65,-0.12,0.06,0.35,-0.73,-0.57,-0.42,-0.07
2023 燁輝,1.05,0.74,0.14,-0.56,-0.22,0.04,0.2,0.74,0.48,0.28,0.07,0.47,0.35,0.31,0.24,-0.65,-0.53,-0.3,-0.21
2024 志聯,0.61,0.36,0.09,0.34,0.28,0.2,0.12,1.26,1.11,0.8,0.18,0.47,0.41,0.31,0.08,-0.91,-0.55,-0.34,-0.34
2025 千興,0.1,-0.08,-0.11,-1.45,-1.05,-0.5,-0.19,-0.3,0.13,0.19,-0.13,-1.19,-1,-0.75,-0.29,-1.56,-1.24,-0.88,-0.24
2027 大成鋼,0.13,0.06,-0.18,-0.36,-0.29,0.04,0.07,2.44,2.17,1.07,0.21,0.29,0.06,0.04,0.18,0.57,0.31,0.65,0.59
2028 威致,-0.18,-0.09,-0.11,-3.13,-2.75,-1.25,-0.6,-2.06,-1.67,-1.17,-0.42,-1.34,-1.19,-0.56,-0.17,-0.18,-0.38,-0.26,-0.1
2029 盛餘,2.79,1.71,0.69,-0.29,-0.63,0.75,0.4,1.36,0.87,0.64,0.52,1.59,1.36,1.07,0.58,0.48,0.32,0.52,0.27
2030 彰源,0.49,0.22,0.21,-1.01,-0.3,0.05,0.14,1.51,1.25,0.75,0.21,0.15,0.07,0.12,0.14,-1.35,-0.88,-0.55,-0.26
2031 新光鋼,2.14,1.27,0.9,-1.45,-0.18,0.53,1.03,0.83,0.81,0.59,0.22,1.2,0.9,0.64,0.52,-0.78,-0.19,-0.13,0.43
2032 新鋼,0.4,0.27,0.08,0.26,0.24,0.25,0.05,0.44,0.41,0.47,0.15,0.32,0.19,0.05,0.2,0.08,0.02,0.03,0.12
2033 佳大,0.23,0.15,0.08,-0.05,-0.12,-0.07,-0.02,-0.2,-0.17,-0.04,-0.01,-0.24,-0.11,-0.07,0,0.5,0.35,0.29,0.22
2034 允強,1.32,0.85,0.39,1.44,1.18,0.62,0.41,2.66,2.27,1.38,0.8,1.76,1.33,0.97,0.53,0.87,0.66,0.38,0.08
2035 唐榮,0.98,0.63,-0.21,-2.66,-2.28,-1.19,-0.67,1,1.81,1.65,0.55,-2.76,-2.49,-1.17,-0.23,-1.35,-1.12,-0.42,0.04
2038 海光,-0.07,0.02,0.01,-1.16,-0.82,-0.4,-0.46,-0.89,-0.25,-0.33,-0.24,-0.38,-0.57,-0.38,0.06,0.39,-0.03,0.09,0.13
2049 上銀,3.15,2.01,0.53,6.1,5.72,3.61,1.97,9.2,6.21,3.4,2.1,7.96,5.01,2.57,0.81,8.13,6.81,4.82,2.38
2059 川湖,9.26,6.08,2.89,20.18,15.3,7.31,4.15,18.98,12.32,7.73,4.92,14.89,10.74,7.55,4.4,11.44,7.83,5.12,2.18
2061 風青,-0.15,-0.18,0,-1.5,-1.24,-0.81,-0.38,-0.74,-0.24,0.11,0.11,-1.34,-0.8,-0.53,-0.18,-0.62,-0.24,0.01,0.07
2062 橋椿,3.3,2.03,1.32,3.83,2.51,1.44,0.77,3.82,2.49,1.27,0.54,5.55,4.24,2.68,1.25,2,1.66,1.12,0.64
2063 世鎧,1.36,0.91,0.36,1.5,1.1,0.42,0.05,1.74,1.26,0.55,0.37,1.08,1.1,0.84,0.67,1.21,0.98,0.45,0
2064 晉椿,0.8,0.48,-0.14,1.36,1.46,0.71,0.39,2.82,2.11,1.38,0.86,2.22,1.66,1.21,,-1.6,,-0.9,
2066 世德,3.97,2.87,1.48,7.1,5.19,2.57,1.26,6.56,4.79,3.43,1.75,5.51,3.87,2.45,1.03,3.37,,1.4,
2067 嘉鋼,-0.41,0.36,-0.21,-2.79,-1.79,-1.64,-0.55,1.11,1.67,1.46,0.72,1.23,0.93,0.47,0.48,2.05,,1.79,
2069 運錩,1.35,0.66,0.09,0.55,0.53,0.35,,1.25,,0.93,,0.22,,0.32,,-0.67,,,
2101 南港,1.11,0.8,0.21,0.97,0.76,0.48,0.11,0.4,0.38,0.41,0.17,0.55,0.35,0.06,-0.02,0.27,0.44,0.18,0.15
2102 泰豐,0.02,0.25,0.25,1.22,0.96,0.49,0.22,0.95,0.76,0.6,0.39,1.55,1.39,0.95,0.48,1.08,0.97,0.64,0.25
2103 台橡,1.13,0.83,0.27,0.64,0.57,0.66,0.24,1.38,1.02,0.71,0.33,1.9,1.62,1.51,0.73,3.27,2.5,1.65,1.15
2104 中橡,1.85,0.94,0.51,1.45,1.11,0.58,0.4,4.76,4.64,0.72,0.37,1.5,1.27,0.52,0.38,2.81,2.5,1.36,0.73
2105 正新,3.4,2.48,1.24,3.94,2.95,2.01,1.01,4.94,3.61,2.18,1.13,5.72,4.19,2.74,1.51,5.64,3.88,2.39,1.33
2106 建大,2.57,1.76,0.75,4.04,3.13,1.73,0.7,4.5,3.31,2.32,1.12,4.24,3.23,2.17,1.01,3.6,2.43,1.41,0.72
2107 厚生,0.29,0.14,0.05,1.6,1.19,0.68,0.7,6.57,5.73,4.01,0.69,3.87,3.14,2.23,0.49,2.71,2.03,1.28,0.08
2108 南帝,1.38,1.13,0.53,2.72,2.08,1.26,0.54,0.56,0.29,0.09,0.06,0.81,0.62,0.61,0.4,0.94,0.64,0.48,0.42
2109 華豐,0.39,0.28,0.19,0.32,0.3,0.28,0.15,2.36,0.69,0.37,0.19,1.1,0.62,0.35,0.15,-0.46,-0.13,-0.1,-0.03
2114 鑫永銓,3.58,2.58,1.17,6.2,4.82,2.65,1.38,7.34,5.29,3.63,1.76,7.11,5.27,3.47,1.86,7.46,5.44,3.29,1.36
2115 六暉-KY,3.08,2.01,0.88,3.35,2.59,1.7,0.82,3.25,2.43,1.69,0.7,1.77,1.22,0.95,0.6,1.54,,,
2201 裕隆,1.27,0.89,0.43,2.29,1.57,1.04,0.6,1.51,1.73,0.93,0.55,1.62,1.82,1.37,0.75,1.89,1.68,1.31,0.74
2204 中華,2.09,1.47,0.77,2.32,1.92,1.41,0.73,1.88,1.62,1.13,0.61,1.86,1.3,0.93,0.35,1.56,1.48,1.04,0.36
2206 三陽工業,-0.26,0.1,0.03,3.48,3.83,0.42,0.06,-0.32,-0.27,0.14,-0.13,-0.53,0.14,0.17,0.01,0.41,0.57,0.37,0.22
2207 和泰車,15,10.31,4.9,17.9,14.09,10.04,5.41,16.84,13.12,8.69,4.11,14.01,10.49,6.91,3.86,13.76,10.86,7.48,3.72
2208 台船,-1.1,0.04,0.05,0.63,0.37,0.26,0.17,0.61,0.32,0.18,0.07,0.59,0.51,0.44,0.24,0.95,0.77,0.49,0.27
2221 大甲,0.91,0.41,0.24,1.64,0.84,0.47,0.09,0.71,0.54,0.41,0.08,0.15,0.23,0.31,0.11,0.7,0.75,0.41,0.2
2227 裕日車,11.12,8.02,3.64,13.89,10.89,8.04,3.42,21.75,13.06,8.25,3.99,24.33,16.79,10.2,4.27,16.43,12.95,9.41,3.38
2228 劍麟,6.85,4.68,2.39,8.55,6.23,3.53,1.96,6.79,5.07,3.17,1.78,5.09,3.85,2.52,1.24,4.38,,2.02,
2230 泰茂,-0.17,-0.18,0.01,0.42,0.4,0.11,0.11,0.7,0.23,0.18,0.08,0.42,0.28,0.19,0.17,0.93,0.68,0.4,
2231 為升,9.67,6.55,3.2,13.45,11.64,7.01,3.56,10.43,7.03,4.93,2.31,6,4.05,2.8,1.29,4.13,3,1.91,0.75
2233 宇隆,4.1,2.62,1.16,5.07,3.65,2.42,1.18,6.3,5.2,3.65,1.72,6.94,4.93,3.45,1.52,4.97,3.33,2.26,0.91
2235 謚源,4.08,2.67,1.31,6.22,4.87,2.84,1.42,5.44,3.89,2.62,1.35,3.83,2.83,1.66,,2.2,,1,
2236 百達-KY,2.31,2.07,1.07,1.88,1.27,0.33,0.28,3.46,2.89,0.86,0.74,8.43,6.13,,,,,,
2239 英利-KY,9.05,6.79,3.09,11.2,6.75,1.53,0,11.42,,,,,,,,,,,
2301 光寶科,2.94,1.58,0.74,3.11,2.03,1.33,0.71,2.79,2.17,1.5,0.62,3.83,2.73,1.67,0.69,3.33,2.31,1.43,0.6
2302 麗正,0.1,0.11,0.05,0.03,0.01,-0.1,-0.1,0.74,-0.1,-0.16,-0.12,0.16,-0.1,0.01,-0.1,-1.12,-0.37,-0.25,-0.13
2303 聯電,0.47,0.23,0.02,1.08,0.82,0.68,0.32,0.97,0.61,0.37,0.09,1.01,0.95,0.67,0.52,0.62,0.53,0.34,0.11
