company name,index,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
日友,8341,7.82,4.08,14.57,10.47,6.81,3.31,12.46,8.91,5.93,,10.82,,4.83,,5.97,,3.09,
恒耀,8349,54.85,26.71,106.52,79.16,54.06,27.02,74.72,46.62,22.66,11.2,49.3,35.82,22.82,10.58,55.84,41.74,27.79,13.06
冠好,8354,6.17,2.92,14.69,11.11,7.44,3.6,17.9,12.66,8.24,4.06,17.48,12.69,8.56,4.02,18.88,13.99,9.13,4.43
金居,8358,11.23,5.41,20.25,14.98,9.86,5.09,18.71,14.68,9.51,4.74,19.18,14.99,10.17,5.14,22.45,16.96,11.17,6.04
羅昇,8374,20.24,9.57,43.09,34.11,23.81,10.87,49.72,36.36,23.17,9.61,47.14,35.99,24.66,10.48,47.55,37.55,24.77,9.79
千附,8383,13.31,6.77,26.17,18.73,11.94,5.45,25.58,19.16,12.93,6.82,21.34,14.73,8.46,4.05,18.67,8.75,5.83,3.05
金益鼎,8390,15.71,6.75,30.89,24.65,16.65,6.56,50.74,37.58,24.06,10.86,55.92,42.96,29.01,14.17,61.54,45.31,30.39,14.17
白紗科,8401,11.03,5.07,22.76,16.1,10.85,5.05,25.25,17.46,11.45,5.21,27.52,19.7,13.87,6.71,35.42,25.97,17.58,7.89
盛弘,8403,15.19,7.3,33.78,24.6,16.08,7.52,33.48,24.99,16.54,7.84,33.65,25.07,16.7,7.86,35.73,26.58,17.2,8.15
百和興業-KY,8404,6.73,3.23,15.57,11.53,7.67,3.6,16.45,11.9,8.07,4.06,15.17,10.47,6.79,2.75,13.58,9.19,5.97,2.9
金可-KY,8406,34.32,16.69,65.97,48.63,30.74,14.86,62.55,47.11,30.33,14.67,52.93,38.18,24.4,11.22,42.15,30.87,19.85,9.8
商之器,8409,3.05,1.07,10.58,5.99,3.52,1.05,7.54,3.9,2.42,1.27,10.14,5.63,3.78,1.53,10.44,,4.38,
森田,8410,10.29,5.11,18.56,12.48,7.61,3.85,26.76,19.65,13.49,5.65,31.79,23.2,15.84,5.62,36.95,29.27,19.1,7.72
福貞-KY,8411,17.27,9.88,42.33,31.68,20.31,10.97,37.57,29.77,20.49,12.39,74.91,58.83,40.2,17.73,82.15,55.38,31.1,15.9
大國鋼,8415,8.65,4.3,18.25,14.13,9.46,4.75,18.93,,9.61,4.54,13.69,,6.39,,18.82,,9.82,
實威,8416,17.01,8.37,34.84,22.11,15.31,7.16,30.76,21.74,13.7,6.23,26.91,18.54,12.37,4.99,21.66,14.92,9.87,4.63
捷必勝-KY,8418,14.27,6.69,31.55,24.47,17.78,8.09,35.92,23.96,13.95,7.25,35.58,26.62,16.54,8.1,36.89,27.39,16,7.31
明揚,8420,13.9,7.13,24.98,18.59,13.19,6.24,21.51,16,12.69,6.97,26.96,20.01,14.36,7.53,24.97,,13,
旭源,8421,13.79,6.58,25.02,17.93,11.52,5.6,25.39,19.19,12.25,5.53,24.79,18.65,11.26,5.61,26.27,20.29,14.2,6.39
可寧衛,8422,15.11,7.46,25.26,17.96,11.05,5.05,19.55,14.55,9.96,4.91,21.52,16.04,9.82,4.75,24.04,18.75,12.55,6.24
保綠-KY,8423,6.13,2.92,15.02,11.5,7.82,3.97,16.88,13.15,8.63,4.22,18.81,14.21,9.67,4.87,18.66,13.68,8.44,4.03
惠普,8424,11.9,5.63,23.57,17.49,11.66,5.58,23.86,17.89,11.63,5.28,25.07,18.1,12.16,5.78,25.95,18.58,12.38,
紅木-KY,8426,22.93,10.67,36.57,26.73,17.93,9.37,43.7,33.3,24.22,12,44.36,30.55,19.61,8.68,39.47,26.99,15.27,8.03
基勝-KY,8427,26.82,23.31,56.4,36.32,34.48,30.89,60.46,40.36,37.77,28.98,53.71,37.64,35.26,28.56,61.19,46.32,42.96,33.51
金麗-KY,8429,16.92,7.61,45.08,32.73,21.83,9.95,47.32,34.83,24.01,11.07,42.76,31.04,19.97,8.98,37.39,26.71,17.43,7.74
匯鑽科,8431,7.12,3.61,19.92,15.44,11.41,6.01,26.01,18.73,12.17,5.77,22.61,15.56,9.9,,27.61,,14.97,
東生華,8432,6.75,3.16,13.38,10.13,6.97,3.36,14.63,10.94,7.39,3.57,15.55,11.77,7.78,3.89,17.11,12.96,8.82,4.9
弘帆,8433,25.31,12.51,48.24,34.4,22.62,10.67,39.15,28.45,18.06,9.42,45.39,34.68,22.67,10.18,32.78,24.45,16.26,
鉅邁,8435,9.8,4.44,20.06,14.93,9.61,4.46,20.71,15.11,9.74,4.53,20.63,14.81,9.85,4.88,21.3,14.88,9.34,
大江,8436,18.18,8.55,33.73,24.36,14.77,6.85,26.16,18.59,11.2,4.96,32,23.44,16.27,7.07,38.71,,18.96,
大地-KY,8437,10.02,5.43,19.01,14.02,7.9,4.17,16.61,12.3,7.11,3.73,15.89,11.29,6.52,,14.15,,6.06,
威宏-KY,8442,63.3,26.5,118.66,90.85,57.68,25.51,110.24,,,,,,,,,,,
阿瘦,8443,14.96,7.61,33.37,24.47,16.75,8.71,39.58,31.4,21.88,12.69,53.18,40.64,27.62,15.13,59.27,,,
綠河-KY,8444,15.22,6.63,26.32,20.35,14.57,7.5,35.11,26.65,17.39,8.72,34.91,,17.56,,33.58,,16.83,
華研,8446,13.68,5.81,24.76,17.42,11.27,4.73,27.13,19.7,11.13,4.38,31.29,21.5,13.66,5.47,26.4,,10.18,
霹靂,8450,7.79,4.02,15.13,11.28,7.45,3.68,14.92,11.45,7.62,4.22,14.74,10.83,7.27,3.71,12.67,,,
富邦媒,8454,97.78,50.02,183.06,134.14,88.95,44.69,168.22,123.63,79.41,39.87,160.67,121.57,80.1,,148,,,
大拓-KY,8455,38.76,21.26,75.05,54.88,34.91,16.8,65.04,48.44,31.88,16.6,236.38,,,,,,,
柏文,8462,19.13,8.65,40.27,29.02,18.35,8.67,32.9,,15.52,,27.76,,11.34,,40.53,,,
潤泰材,8463,9.72,4.71,22.59,17.21,12.29,5.93,28.69,20.99,12.58,,29.88,,,,22.26,,,
億豐,8464,31.01,14.13,57.4,41.49,26.08,11.9,61,44.2,29.18,,37.41,,,,16.81,,,
美吉吉-KY,8466,30.78,14.56,57.47,42.03,27.52,13.89,68.67,,,,55.63,,,,,,,
波力-KY,8467,15.53,6.47,37.72,28.42,20.03,7.83,50.05,37.14,22.91,8.63,59.38,,,,,,,
夠麻吉,8472,13.78,6.84,34.26,26.14,17.32,8.49,33.24,24.53,15.82,,32.6,,,,11.29,,,
山林水,8473,7.76,4.12,13.07,8.54,6.06,3.16,13.28,,7.07,,12.06,,,,90.86,,,
創業家,8477,93.7,48.18,153.57,,69.86,,121.22,,,,67.08,,,,12.51,,,
吉源-KY,8488,,12.95,58.43,,,17.39,79.3,,,,,,,,,,,
裕國,8905,7.34,3.55,16.24,12.76,8.58,4.7,40.28,24.89,16.44,11.85,27.37,22.01,17.04,4.37,26.19,19.56,8.64,3.89
花王,8906,1.96,1.1,4.48,3,1.84,0.98,3.98,2.79,1.64,0.81,3.52,2.51,1.6,0.91,4.05,2.72,1.73,0.89
欣雄,8908,17.01,8.9,39.22,29.07,19.88,10.01,48.37,36.37,24.64,12.46,50.06,38.09,25.42,12.7,46.68,32.68,20.41,9.81
全銓,8913,0.88,0.46,1.32,0.96,0.64,0.32,1.19,0.89,0.59,0.3,1.16,0.85,0.55,0.27,1,0.75,0.5,0.25
光隆,8916,36.31,15.39,83.78,65.01,37.35,14.5,86.07,69.64,43.93,17.35,101.41,80.02,43.22,17.71,90.08,66.96,38.61,18.35
欣泰,8917,6.51,3.62,13.1,9.95,7.22,4.19,16.78,12.4,9.03,5,16.5,11.96,8.65,4.61,16.81,12.05,8.62,4.81
沈氏,8921,6.48,3.23,15.55,11.43,7.49,3.66,15.49,11.06,7.34,3.58,16.66,11.86,7.84,3.88,17.57,12.83,8.44,4.05
時報,8923,7.13,3.66,13.17,9.67,6.42,3.16,11.81,8.37,5.6,2.79,11.09,7.75,5.21,2.67,10.97,8.62,5.98,3.13
