company name,index,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
新麗,9944,17.36,8.38,35.48,27.42,18.64,8.57,39.14,30.05,20.48,9.55,39.31,28.79,19.39,8.98,37.62,28.64,19.77,10.25
潤泰新,9945,4.4,2.19,9.35,6.33,3.03,1.56,10.35,7.9,5.37,2.5,12.72,9.11,6.07,2.98,13.38,9.67,6.43,3.25
三發地產,9946,6.02,2.76,18.98,12.29,1.61,0.52,3.12,2.55,2.47,2.33,26.96,24.12,14.1,7.21,13.96,9.93,5.81,1.49
琉園,9949,3.79,2.12,8.27,6.1,4.44,2.33,10.69,7.6,5.52,2.94,11.64,8.09,5.59,2.98,10.68,7.54,5.31,2.79
萬國通,9950,23.61,11.86,52.28,39.21,24.59,11.88,58.21,44.12,28.69,13.52,76.13,56.89,37.18,17.72,74.04,55.7,36.35,16.75
皇田,9951,28.43,13.97,49.76,36.18,23.65,10.88,41.52,30.49,20.98,10.84,35.92,26.35,17.23,8.18,28.36,21.3,13.94,6.71
佳龍,9955,12.77,5.72,22.45,17.6,13.27,7.36,27.93,18.99,12.61,6.41,41.78,33.04,23.27,11.69,65.06,54.46,34.53,19.12
世紀鋼,9958,6.88,3.2,16.3,11.34,7.5,3.72,15.88,12.08,8.55,3.5,19.06,14.44,9.4,3.93,25.81,18.3,14.42,4.06
邁達康,9960,6.43,2.83,15.56,11.89,8.41,3.91,18.19,13.64,9.24,4.07,21.79,16.57,11.11,4.64,24.73,19.84,13.66,6.56
有益,9962,10.23,3.96,21.38,17.56,12.45,6.14,30.42,23.24,13.74,5.98,31.89,25.33,18.92,10.42,47.52,37.07,25.86,14.27
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
