company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
榮成,1909,8.1,8.49,7.48,7.74,8.13,7.46,6.6,7.4,9.11,9.14,8.84,6.81,6.66,6.52,7.15,5.69,4.87,4.74,4.26
中鋼,2002,8.74,6.7,1.45,2.85,5.03,6.7,7.94,8.12,7.31,6.32,5.1,7.06,7.12,7.22,6.68,2.24,2.13,2.1,0.13
東和鋼鐵,2006,6.35,7.12,4.45,4.87,4.23,4.78,4.69,3.78,3.5,4.22,4.47,6.23,5.83,5.86,5.97,5.73,5.67,6.22,6.28
燁興,2007,-0.32,0.71,1.03,-3.6,-3.92,-3.73,-3.37,-6.27,-6.44,-6.38,-8.94,-10.53,-10.25,-9.83,-5.82,-6.27,-4.19,-4.86,-5.24
高興昌,2008,-9.43,-8.68,-6.61,-17.07,-14.85,-14.38,-15.05,-16.28,-19.45,-17.81,-15.59,-28.77,-30.34,-37.37,-43.65,-22.86,-21,-15.92,-12.45
第一銅,2009,-6.1,-5.17,-0.74,-9.41,-8.31,-5.52,-8.71,-0.9,-1.24,-2.38,-2.57,-4.35,-4.41,-4.42,-1.15,-0.62,-0.23,-0.58,3.51
春源,2010,4.65,4.92,4.15,0.99,1.04,0.95,0.97,1.94,1.82,1.58,1.76,2.01,1.72,1.42,1.7,0.19,0.18,0.77,2.21
春雨,2012,7.13,5.4,4.74,3.67,3.1,3.68,4.05,2.83,2.74,3.03,4.24,3.06,2.54,2.88,2.4,0.68,2.45,3.16,3.18
中鋼構,2013,0.07,-0.55,-2.2,1.15,1.03,1.25,0.62,0.8,0.63,1.3,1.56,2.22,1.92,1.97,2.55,2.57,2.44,2.54,2.06
中鴻,2014,6.56,5.27,0.71,-9.11,-9.62,-13.98,-17.58,0.73,0.92,1.36,2.14,0.44,-0.32,0.75,3.56,-7.8,-9.37,-3.94,-2.38
豐興,2015,11.64,11.83,12.08,9.65,8.46,8.99,7.57,5.99,5.63,5.76,5.51,5.42,4.99,5.12,6.05,4.15,3.88,6.09,4.14
官田鋼,2017,8.24,7.74,-0.34,-1.08,1.32,0.63,-3.08,-0.12,1.3,-0.14,-2.31,-0.02,1.12,-1.33,3.9,-3.93,-2.93,0.11,-2.35
美亞,2020,11.58,11.47,9.38,0.61,-2.12,1.26,0.26,5.88,7.59,9.24,4.05,4.81,4.85,5.82,7.18,1.5,1.03,1.7,1.55
聚亨,2022,2.83,3.14,1.63,-5.09,-4.22,-3.13,-3.44,0.49,0.47,0.64,0.51,-1.99,-1.71,-0.98,-2.94,-3.14,-3.41,-2.07,-0.86
燁輝,2023,7.65,8.27,5.67,1.73,1.65,2.14,3.74,2.38,2.34,2.77,2.46,2.04,2.03,2.16,2.64,-0.8,-0.92,-0.49,-1.24
志聯,2024,7.41,6.41,3.48,3.21,3.36,3.89,4.57,5.8,6.69,6.39,5.63,5.41,6.01,4.79,3.17,-3.99,-3.14,-2.87,-7.5
千興,2025,-0.6,-2.03,-6.46,-10.92,-9.22,-8.03,-6.28,-1.28,0.75,1.77,-2.37,-8.45,-9.79,-9.69,-6.54,-17.76,-18.8,-17.77,-14.64
大成鋼,2027,3.43,2.49,-0.1,0.47,0.71,2.61,1.86,6.7,8.05,7.34,4.33,1.7,1.12,0.89,1.68,3.06,3.28,3.92,5.71
威致,2028,-0.7,-0.63,-3.68,-16.36,-15.81,-10.02,-8.73,-5.24,-5.45,-5.33,-3.45,-3.85,-3.07,-1.83,-0.58,-0.99,-0.69,-0.26,0.17
盛餘,2029,13.32,12.78,10.69,6.33,5.77,6.06,6.38,5.39,5.24,5.93,6.8,5.4,5.23,6,5.65,1.58,1.32,2.62,2.97
彰源,2030,4.02,3.14,4.57,-1.6,0.06,1.43,3.15,4.35,4.84,4.52,3.17,1.39,1.27,1.49,2.37,-1.77,-1.44,-1.19,-1.42
新光鋼,2031,11.5,9.54,9.92,-13.26,-8.88,-9.08,-9.8,5.6,5.4,4.47,5.53,5.2,5.48,6.69,10.51,-4.63,-3.57,-0.93,0.34
新鋼,2032,2.32,2.45,1.44,0.44,-0.16,0.48,-0.16,1.72,2.41,4.49,2.42,0.97,0.64,-0.16,2.81,-0.05,-0.12,-0.13,1.57
佳大,2033,4.37,4.14,4.64,0.22,-1.71,-1.67,-1.48,0.18,0.02,0.16,-0.97,-2.61,-2.44,-2.49,-0.95,2.62,3.97,4.87,4.86
允強,2034,5.5,5.41,5.23,3.05,3.09,3.04,3.55,4.23,4.75,4.59,5.07,2.78,2.93,2.98,3.48,1.72,1.77,1.56,0.88
唐榮,2035,3.04,2.41,-5.57,-7.42,-7.39,-5.1,-5.65,2.2,4.3,5.68,5.11,-4.29,-5.36,-3.64,-1.57,-2.99,-3.52,-2.64,-0.57
海光,2038,-0.59,-0.05,-0.72,-3.41,-3.23,-2.94,-4.21,-1.43,-0.57,-0.74,-1.23,-0.2,-0.95,-0.83,1.01,0.4,0.11,0.46,0.89
上銀,2049,9.6,9.3,5,12.79,14.89,16.88,18.87,18.88,19.41,18.22,19.35,19.04,17.46,14.52,6.96,22.42,24.63,26.37,26.54
川湖,2059,45.16,44.4,44.5,44.98,45.15,44.73,44.87,42,41.11,41.76,41.14,39.68,39.3,37.45,38.13,37.18,36.48,35.12,36.52
風青,2061,-2.84,-2.51,-1.79,-5.82,-6.21,-5.23,-7.29,-2.07,-0.61,-0.53,0.48,-2.3,-1.19,-0.95,0.56,-1.45,-1.11,0.5,1.02
橋椿,2062,12.63,12.4,13.44,10.8,9.84,9.89,10.28,11.06,10.99,11.05,11.27,16.21,16.81,16.17,15.08,10.06,8.44,8.7,10.51
世鎧,2063,14.9,14.7,12.67,11.51,11.37,9.77,6.93,12.43,12.72,9.59,11.04,4.58,5.93,3.78,2.93,8.81,9.65,8.42,3.27
晉椿,2064,4.63,5.19,3.41,4.36,4.83,6.01,6.5,5.67,6.65,7.29,7.7,5.19,5.33,5.3,,-2.32,,-1.86,
世德,2066,23.29,23.26,23.16,21.09,19.88,19.35,19.25,19.58,19.77,20.2,19.02,17.61,16.95,15.93,11.94,12.94,,12.09,
嘉鋼,2067,-4.26,-2.21,-2.6,-10.59,-9.59,-10.68,-5.2,4.69,7.19,8.58,7.55,4.12,3.88,1.97,4.78,6.08,,8.5,
運錩,2069,4.45,3.81,2.37,2.09,2.23,2.2,,3.16,,3.9,,1.05,,1.58,,-0.58,,,
南港,2101,10.94,10.7,7.9,8.78,8.25,6.97,4.27,5.41,6.74,7.75,6.03,5.04,4.64,3.23,2.02,2.81,4.18,4.48,3.11
泰豐,2102,1.96,6.29,9.96,8.69,9.07,8.34,6.66,6.89,7.8,9.08,9.52,9.51,11.07,11.57,10.98,6.25,6.89,6.45,4.9
台橡,2103,7.77,8.62,7.21,5.38,6.02,5.96,7.13,6.09,6.13,6.41,6.09,6,7.17,8.79,9.68,8.46,9.3,9.54,11.91
中橡,2104,17.57,16.26,17.59,12.38,12.06,11.74,13.23,8.9,8.75,10.04,9.89,9.46,8.59,8.6,9.54,10.6,11.08,11.75,11.09
正新,2105,17.08,18.38,18.38,15.95,16.07,16.46,15.93,16.42,16.53,16.44,17.1,16.69,15.92,15.5,14.64,14.68,14.36,13.85,12.45
建大,2106,12.04,12.34,11.65,11.94,12.12,11.94,9.69,12.91,13.44,13.08,12.62,13.01,13.25,13.53,13.02,11.77,10.98,10.22,9.48
厚生,2107,16.96,17.39,16.66,35.43,34.9,40.52,47.56,60.42,64.19,65.52,42.27,48.19,49.14,50.04,30.34,40.64,39.63,38.35,10.69
南帝,2108,12.07,13.83,14.2,14.7,14.76,14.25,12.38,3.08,2.32,0.92,0.55,4.06,3.98,5.47,6.94,4.03,3.77,3.93,7.7
華豐,2109,9.03,8.8,12.12,10.53,11.15,10.42,10.75,7.72,9.18,8.78,8.23,7.82,7.64,6.36,5.37,2.63,2.94,2.86,2.2
鑫永銓,2114,29.65,29.89,29.36,26.29,26.13,26.31,26.01,26.05,26.86,26.5,24.69,26.4,26.33,26.01,26.11,23.51,22.89,21.96,21.73
六暉-KY,2115,15.35,15.15,14.08,11.41,11.25,11.67,10.37,11.1,11.22,10.77,9.32,8.11,7.19,7.58,8.83,6.23,,,
裕隆,2201,2.01,2.09,2.23,0.23,1.31,1.58,2.37,0.34,2.03,1.45,2.15,-0.4,0.74,2.09,3.08,1.02,1.53,2.18,3.15
中華,2204,7.43,7.7,8.07,6.01,7.3,8.49,8.36,5.48,6.87,7.09,6.63,3.88,3.94,3.11,1.64,3.08,4.47,3.96,2.33
