company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
萬旭,6134,2.18,1.44,0.01,-6.25,-6.72,-10.91,-12.16,-9.29,-8.25,-9.61,-11.23,-11.56,-11.21,-13.86,-17.27,-17.13,-15.2,-14.96,-19.89
富爾特,6136,41.95,16.41,16.93,30.08,38.58,24.22,9.82,32.81,40.37,22.2,8.7,29.62,29.5,6.35,9.5,29.35,28.76,7.78,5.28
茂達,6138,7.68,7.35,8.39,5.94,4.47,3.46,4.91,7.84,8.38,7.83,7.64,4.47,5.16,6.05,6.46,3.92,6.21,6.53,4.08
亞翔,6139,3.68,3.95,2.98,1.6,2.02,0.59,0.1,2.01,1.9,2.55,0.84,3.71,2.75,3.51,3.4,4.28,3.9,4.37,4.69
訊達,6140,-1.96,-1.94,-4.32,-1.25,-0.9,-2.15,-4.73,-0.36,-0.34,-0.4,-0.88,-0.41,-0.89,-0.3,-0.42,0.06,-0.09,-0.92,-3.23
柏承,6141,-6.53,-7.56,-10.25,-16.47,-14.34,-13.11,-13.35,0.43,0.51,-0.68,-1.96,-2.43,-4.08,-4.12,-6.31,0.7,1.54,1.28,2.1
友勁,6142,5.63,11.38,28,-3.55,-3.05,-4.85,-7.45,-4.72,-4.78,-6.3,-5.69,1.18,1.14,1.82,1.54,1.41,0.74,-0.33,-1.73
振曜,6143,-0.26,0.19,-8.35,9.83,12.45,2.43,9.14,8.5,6.64,4.79,9.63,9.39,9.51,11.02,12.34,7.05,5.48,5.22,2.01
得利影,6144,-3.02,-4.65,-2.94,0.14,-1.05,-0.85,-0.35,-0.42,-1.44,0.62,0.31,-5.81,-4.01,-3.38,-3.12,-4.06,-1.75,-2.96,-1.7
勁永,6145,-0.05,0.12,1.62,1.76,2.17,2.07,3.45,1.79,0.15,-1.13,0.43,0.05,-0.12,0.13,1.03,2.24,1.8,3.16,-24.79
耕興,6146,24.89,25.63,23.71,24.68,24.79,24.16,22.01,22.8,23.34,22.54,18.34,19.52,20.6,20.51,18.82,20.86,23.2,24.01,24.61
頎邦,6147,9.83,8.03,5.66,12.38,13.01,11.78,13.3,14.95,13.53,11.78,12.61,16.49,17.84,18.88,19.17,17.48,17.29,16.45,14.43
