company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台聚,1304,36.6,3.88,14.13,82.27,-113.33,59.84,115.72,-13.91,12.94,9.35,-71.2,9.67,-1.97,-4.68,-43,-3.71,4.96,-4.38,-40.25
華夏,1305,35.3,27.54,12.99,380.69,-37.83,216.04,4.87,-12.92,1.63,-19.6,-54.09,2.29,-11.85,-0.15,-4.31,-18.81,819.29,-931.33,1024.86
三芳,1307,-14.4,-8.38,34.78,-2.52,15.21,-6.52,7.42,-9.34,-6.44,17.01,20.17,3.27,-2.48,-15.31,28.64,-6,8.99,17.25,-15.17
亞聚,1308,11.46,19.08,-20.85,9.44,-15.63,-2.82,15.34,-7.61,8.03,12.24,-19.54,21.77,-2.7,15,-47.33,-6.39,4.91,-4.3,-56.05
台達化,1309,-3.49,-37.32,-39.44,-11.81,-70.55,54.44,138.62,-3213.38,-138.87,127.72,-506.52,-133.5,103.61,209.18,-33.14,-3.88,26.59,-81.65,-64.58
台苯,1310,59.74,-1226.6,"1,242.34",1077.76,86.39,-65.8,126.95,-33.91,-102.42,80.99,-49.66,30.59,131,30.57,123.04,3.54,3.89,5.8,32.48
國喬,1312,31.93,-105.2,83.75,57.68,-177.79,247.59,109.21,-10.93,0.73,-38.82,-28.28,22.82,30.52,-51.93,9.94,10.42,-37.5,145.36,-72.07
聯成,1313,128.35,23.06,-63.22,-468.84,-100.68,444.7,154.11,-52.78,85.06,22.15,-195.56,8.33,6.95,-5.67,-60.36,13.66,41.27,-21.05,-19.77
中石化,1314,-741.13,126.98,-494.62,17.59,-22.25,-254.02,186.78,-308.5,-71.53,267.47,18.18,387.78,-19.04,-24.37,-112.39,-7.02,-14.88,-32.43,-32.79
達新,1315,-57.45,-829.99,891.82,-21.44,-54.02,-115.66,199.68,32.23,74.55,90.31,-164.87,24.66,-199.42,246.71,-70.67,-45.38,3.69,-1304.82,1271.23
上曜,1316,8.59,-34.65,35.03,-277.81,6.46,71.26,-44.93,79.94,8.43,14.07,-19.31,13.07,28.02,-89.95,3.77,1203.49,-1053.36,-204.39,-123.9
東陽,1319,-40.42,58.11,47.59,67.14,30.58,-22.43,6.43,-15.55,-6.87,-30.31,20.83,-0.49,-7.48,79.48,9.06,-2.93,1.69,-14.98,-20.91
大洋,1321,6.69,-16.66,-16.38,-52.74,-26.62,12.77,192.19,-874.52,75,-402.89,4.48,-36.01,34.68,-80.65,193.2,-32.24,21.07,-63.8,99.06
永裕,1323,-8.36,15.01,25.04,3.8,3.4,-0.47,-22.07,3.53,10.48,-14.24,15.65,-6.2,2.59,11.41,19.98,-5.52,-16.92,24.16,11.45
地球,1324,-63.34,-73.48,152.16,15.5,31.76,41.53,-54.44,-6.56,11.7,-13.79,7.61,-46.07,-467.15,218.09,322.03,21.13,15.33,-8.51,-75.46
恒大,1325,-76.53,-7.08,92.07,-90.68,45.75,131.49,-13.05,26.41,11.44,-42.24,-16.61,-0.21,-28.38,11.9,14.94,4.69,13.3,1.54,-57.78
台化,1326,16.22,-237.67,280.11,98.44,-20.24,114.76,-67.43,-31.67,3.9,6.3,-25.98,-186.33,-296.31,548.95,147.43,11.74,19.57,-25.23,-82.47
恩得利,1333,-1842.45,-330.43,-615.59,-33.05,1.94,-9.33,105.93,495.79,-354.24,486.57,-922.77,-59.54,-20.21,17.42,121.5,20.63,-8.36,12.19,1.55
台翰,1336,-8.04,-10.77,19.75,231.1,-85.01,-161.88,-259.24,-1002.35,-287.5,285.2,268.31,48.65,-20.91,-146.13,230.6,-1457.34,1458.02,-1739.28,-130.81
再生-KY,1337,-69.57,84.97,66.97,11.18,7.27,-6.25,-77.74,1.37,-17.82,-28.46,32.94,-5.38,9.63,8.77,-27.26,-14.71,-12.34,-11.07,63.03
廣華-KY,1338,-3.02,-14.96,-1.27,-6.21,-1.66,-17.21,44.03,-28.31,-41.5,-40.71,148.16,58.34,20.96,9.97,-44.15,-18.57,-8.59,16.8,-35.15
昭輝,1339,-29.91,8.91,-30.37,2.85,29.32,-5.25,-11.22,-5.34,15.26,9.68,17.69,-1.54,-32.43,-21.82,85.85,1.42,-1.15,1.13,-2.9
勝悅-KY,1340,-9.89,5.87,12.91,-4.33,6.72,9.19,-19.23,-0.39,-9.65,1.73,41.51,2.2,6.28,23.74,,17.78,0,0,0
遠東新,1402,13.78,4.15,-44.52,-0.6,-15.38,-28.09,30.42,-18.71,-3.15,5.03,-1.96,24.65,6.45,69.57,-13.71,5.08,-2.9,11.36,-28.74
新纖,1409,-51.66,33.26,-13.52,-15.22,31.08,-0.85,-67.78,-7.98,-17.64,-98.04,125.99,-27.25,-48.9,-20.38,145.58,20.94,18.24,2.03,-52.02
南染,1410,-11.95,-27.02,33.41,-5.3,-30.11,2.8,47.9,3.98,19.05,3.84,-17.16,3.48,-0.95,-47.6,26.2,-2.78,5.68,47.57,-29.16
宏洲,1413,300.25,-437.04,89.86,18.07,-27.13,77.42,33,-1.65,-43.59,30.58,31.71,76.15,84.63,-170.21,-2.2,458.15,-346.05,-109.48,-190.73
東和,1414,-63.18,-2.6,74.22,58.69,26.8,7.29,-177.04,16.58,-16.97,-31.82,-34.13,-21.08,-58.02,99.02,28.36,2.11,-1.64,1.47,-94.21
廣豐,1416,3351.37,895.25,147.55,-20.13,-220.77,-336.97,470.52,367.58,131.73,481.06,-324.11,18.2,-4.68,78.31,-186.14,87.28,82.53,82.56,106.64
嘉裕,1417,-22.4,115.86,-30.49,4609.78,-5672.65,-150.29,-208.45,-30.45,-100.3,-760.44,966.19,71.96,-18.76,-34.41,-108.87,-19.99,-7.24,-303.59,297.21
東華,1418,-40.05,-21.62,57.8,2.71,52.62,-20.18,-47.58,-28.62,-21.65,87.55,-68.17,-9.24,31.93,181.96,-168.75,837.5,-1082.79,-271.8,-4.24
新紡,1419,-39.39,5.37,37.11,15.11,167.3,-58.71,-116.86,-18.25,26.58,-54.03,9.13,-11.2,-450.47,695.97,-241.08,-2.53,24.66,-98.9,47.74
利華,1423,-331.65,371.92,126.54,-18.87,-24.14,39.17,55.6,-1750.32,17.52,125.84,-295.96,21.39,31.63,10.7,32.62,-61.44,-82.75,-196.08,50.26
大魯閣,1432,-416.92,-25.89,211.83,-26.5,-34.61,98.18,-31.68,-47.57,90.61,-66.98,-3.99,-106.63,-0.43,20.99,-33.81,1890.12,21.23,-72.87,-146.28
福懋,1434,45.28,-29.09,18.54,2.17,-16.46,-5.62,4.31,-8.81,68.78,3.22,12.27,15.01,-32.65,-5.08,7.35,-18.67,63.07,0.25,-43.91
