,,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率
company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台聚,s1304,4.58,4.93,3.51,2.93,2.9,4,3,1.05,1.51,1.31,1.32,2.88,3.17,3.68,4.96,4.95,6.43,7.03,8.04
華夏,s1305,8.61,8.45,5.09,5.87,5.06,5.97,4.64,0.84,1.63,1.77,4.59,5.74,6.15,7.22,11.01,6.43,7.11,7.36,9.99
三芳,s1307,11.34,11.41,12.48,9.77,9.9,9.13,9.57,8.67,8.67,9.04,9.37,7.62,7.09,7.09,8.46,6.73,6.5,6.47,6.76
亞聚,s1308,11.06,11.3,7.2,10.53,10.89,12.11,9.86,8.98,9.55,9.19,7.82,9.25,10.07,11.21,10.65,12.91,16.68,17.15,18.54
台達化,s1309,0.15,0.81,1.35,0.4,0.69,2.99,2.02,-3.02,-2.54,-2.9,-4.88,0.08,0.6,1.04,1.19,-0.34,-0.52,-1.73,1.87
台苯,s1310,9.5,8.67,11.26,4.37,5.69,7.84,1.3,-0.3,1.6,3.29,0.25,5.01,5.21,2.46,0.52,-2.59,-2.95,-4.87,-2.16
國喬,s1312,11.39,10.73,13.14,8.25,9.24,11.3,6.52,2.02,2.78,2.21,2.52,8.22,7.88,6.34,3.64,8.3,9.52,12.51,3.32
聯成,s1313,2.04,1.74,0.35,-0.4,0.94,2.47,0.8,-0.46,0.13,-0.41,-1.23,1.15,1.19,0.61,1.48,2.42,2.96,1.87,3.64
中石化,s1314,-7.51,-12.38,-13.6,0.32,0.66,3.53,2.47,0.89,5.22,9.45,-2.31,14.84,-4.49,-5.14,-2.84,3.66,6.94,12.81,19.03
達新,s1315,9.61,3.05,4.3,8.98,9.92,1.95,0.48,7.54,7.07,1.01,-0.49,5.03,5.78,3.89,0.68,4.39,6.52,0.84,1.35
上曜,s1316,-19.7,-22.53,-25.84,-14.78,-12.67,-11.99,-23.55,-4.47,-20.97,-18.78,-13.81,-16.4,-13.86,-11.6,-8.28,-8.81,-5.75,-5.89,-8.24
東陽,s1319,9.84,9.85,10.66,7.71,6.41,5.09,7.67,4.51,5.86,6.4,7.78,7.13,7.66,7.81,7.25,5.05,5.51,5.61,7.68
大洋,s1321,1.59,0.87,0.35,0.81,1.95,1.12,0.33,-2.7,-2.16,-0.93,0.11,0.22,0.93,0.31,0.11,-2.32,-2.05,-2.59,-0.04
永裕,s1323,11.23,10.42,10.13,9.47,8.8,7.59,7.86,10.07,9.71,8.95,9.24,9.21,9.08,9.2,8.46,7.49,7.35,7.37,7.33
地球,s1324,5.45,6.34,6.13,4.54,4.43,3.38,2.19,2.97,3.3,3.44,4.02,2.92,3.15,3.57,3.64,2.75,2.1,0.9,1.29
恒大,s1325,10.39,12.93,13.48,8.85,8.58,6.32,6.51,4.7,3.24,2.86,7.16,6.58,6.43,7.65,9.38,6.87,6.64,6.12,8.93
台化,s1326,16.4,14.09,10.32,9.6,9.77,9.06,2.54,3.49,6.18,4.99,6.26,6.23,7.18,6.24,8.39,2.11,1.5,-1.14,3.24
恩得利,s1333,-7.04,-9.47,-14.64,-4,-0.16,-0.63,1.81,-8.36,-8.2,-13.41,-25.89,-2.14,1.22,3.98,3.01,-5.01,-6.37,-10.79,-14.36
