company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
運錩,2069,82736,67209,9686,2604,20719,37699,,132152,-97171,97171,,24046,-35694,35694,,-74228,0,0,0
南港,2101,252735,493662,171513,178243,230429,311596,90229,14150,-19449,197747,142503,170056,242421,64201,-17376,-143114,247576,19452,100207
泰豐,2102,-105274,3327,112191,116602,213773,122760,96833,87867,70166,106961,160689,66654,179942,205146,186433,46486,127296,156138,89435
台橡,2103,263295,527733,245479,70023,-82634,393022,220736,326821,295821,349701,271403,224466,99339,661180,730497,747881,802667,550293,1078501
中橡,2104,503470,228277,289676,161209,286425,99894,179036,6529,2131268,192195,196007,89384,346934,20299,200511,122121,580228,361998,425099
正新,2105,3014860,4025872,4043931,3208826,3078325,3273168,3278895,4332452,4664088,3417953,3697124,4980778,4724882,4663738,4272521,4982552,4201631,3472710,3310130
建大,2106,746296,866003,638810,783619,1271448,844017,567893,975062,935762,910491,856104,771649,847572,937969,809772,864131,742864,542683,494274
厚生,2107,70994,42968,24992,197342,254843,-8994,346627,418284,857825,1647905,344758,365736,450283,869252,241187,337243,371473,598058,40318
南帝,2108,119927,289848,231832,280290,358570,324938,230463,119162,89377,21747,27050,75418,7065,89414,153571,134839,67121,23965,151157
華豐,2109,89212,28460,119543,51525,58941,84687,89789,591415,138045,86906,103693,134262,155315,118750,74300,-105559,20275,-14189,21360
鑫永銓,2114,67282,94579,78777,93412,145855,85954,92998,138218,134359,115083,107850,113312,110361,98563,114477,124187,131930,118619,83362
六暉-KY,2115,79801,84386,65530,56694,66317,65198,58296,58070,58174,66865,47460,33525,16296,21112,35892,92468,0,0,0
裕隆,2201,723443,564111,785830,1211246,611822,779133,1317091,-198323,1517316,541190,949223,-404700,409080,967525,1319163,215999,759366,1041867,1395483
中華,2204,921505,1056258,1163090,662206,769486,1008968,1064028,427157,718638,780972,894715,851026,573638,828301,498057,138476,646742,1001682,550227
三陽工業,2206,-298574,65947,30279,-422389,3057686,307739,53980,-97528,-352833,251610,-153055,-600398,-35342,110005,8630,-116346,196524,144696,206037
和泰車,2207,2900591,3306089,2981483,2360146,2456860,2802776,3262711,2292149,2728343,2767709,2504364,2171089,2251336,1885168,2325658,1854116,2078816,2303041,2225375
台船,2208,-846882,-12722,41082,192722,83911,66972,129179,213769,107539,80249,52821,59024,48372,152492,179913,133306,209799,172044,195807
大甲,2221,19982,7912,11883,32631,17609,16635,4311,7917,5370,13527,2901,-3754,-4231,8683,4117,-2680,14225,9084,8485
裕日車,2227,930226,1314585,1092363,899637,854808,1386141,1025315,2604605,1443622,1279973,1195559,2262717,1977405,1779029,1280846,1044015,1064264,1807979,1014219
劍麟,2228,164214,173209,180236,172333,194344,113043,140323,122875,136565,99437,127688,82579,86757,82917,80882,270491,-121938,121938,0
泰茂,2230,2372,-5362,1518,624,11668,86,4254,17974,2065,3893,3039,4769,2948,1070,5116,7627,8706,12118,0
為升,2231,270735,279087,270480,276334,337454,250327,257985,245055,194558,163225,142661,117946,76321,92198,79178,68392,66140,70855,46249
宇隆,2233,72621,72041,56970,70190,60479,61260,57834,56020,64957,79719,70761,82783,73796,72502,56818,61507,40074,50704,33917
謚源,2235,45143,43397,41616,43294,64502,45491,45143,44377,35366,35307,37730,27866,32517,46358,,61273,-27768,27768,0
百達-KY,2236,19610,46281,46370,30903,34655,1792,10717,23560,65446,9177,26861,75105,190029,0,,0,0,0,0
英利-KY,2239,296774,434076,331575,431600,222379,223808,242320,1141819,0,0,,0,0,0,,0,0,0,0
光寶科,2301,3178649,1955620,1661381,2469907,1661824,1488319,1692782,1482753,747914,2018051,1428274,2457104,2316110,2326370,1790907,2760425,2574199,2448788,1736466
麗正,2302,-2337,9664,8812,2932,18016,48,-15993,135330,9944,-6244,-19396,41083,-16957,17819,-16186,-120291,-19232,-19955,-20541
聯電,2303,1756199,1578852,79180,3071094,1307045,4545040,3912472,4463717,2579339,3325726,1110807,587532,3365561,1738173,6413694,744154,1342579,2679350,1107838
全友,2305,-13317,5785,388998,244975,-28112,17418,26465,37360,114014,-4517,3621,76965,-20767,-10692,-13475,8617,-3093,-13260,-23503
台達電,2308,5777361,4366382,4046315,5283270,6127529,4213408,4258167,5405585,6229632,5758225,4925804,5253571,4874010,4732859,4173956,3908921,4983968,4525074,3799525
日月光,2311,5266915,4950703,4337596,5312055,6682881,3803635,4650436,8103581,7364711,5244994,3568299,5341670,4546244,3911138,2355988,4541178,3593659,3295630,2118441
金寶,2312,349854,556590,574969,234382,141881,563473,413608,448244,545844,818438,479124,-111177,-4653800,169674,277628,-64818,238345,-66489,16539
華通,2313,472508,23629,262006,981566,954350,477919,453333,787786,581153,283370,334339,678294,561969,335116,278790,371048,251319,121716,123671
台揚,2314,35358,30292,52031,20350,144767,-129574,5357,-165954,-68983,-137667,-162819,-343793,-202199,-108649,-257915,-135866,-370162,-256834,-271766
楠梓電,2316,-85641,269,-42113,-231378,336390,4279739,343151,123784,62024,94366,84093,57615,119848,50446,46464,87219,117401,114213,58902
鴻海,2317,35260821,18075096,27548860,53690114,38858067,26393678,31259557,57401901,34624630,20625501,19829790,43343841,30721326,16930385,16350324,36450607,29827139,11394715,14114680
東訊,2321,17762,29439,8050,-16832,-14758,-47546,2437,-39749,-38191,33756,8105,4838,11369,70384,-46377,-148547,-231418,-167780,-96899
中環,2323,-417021,-254038,-383204,-1518756,-547864,-338791,-451909,-356725,-405449,-446514,-520427,-1879814,-658878,-581292,-543266,-874455,47300,2072,-5272
仁寶,2324,2379044,2056524,1746263,2412529,3079549,1493308,2021761,4481701,2712364,2478606,-2127290,2577950,-2523981,1461330,1388433,1545038,1736270,1798461,2175716
矽品,2325,2691530,2808703,1604028,-212037,2682304,3677490,2614500,3015270,3260176,3374635,2094333,2259532,2184405,1740203,-291857,1560149,1698528,1469673,891252
國巨,2327,907658,932690,821649,753863,1239760,734435,944007,793369,1188791,953134,959755,433629,469343,368219,199753,56436,435750,361694,231553
廣宇,2328,106935,884414,21708,96125,376231,80079,-77551,53333,207628,107250,9760,220013,108552,82548,77791,251685,178283,87777,62873
