company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
華上,6289,32.44,34.38,35.83,-37.53,-46.4,-52,-62.28,-48.67,-42.97,-41.36,-31.27,-40.57,-44.98,-42.62,-42.17,-2.76,-2.63,-7.73,-8.98
良維,6290,-1.48,5.72,7.15,0.48,-4.52,-7.23,-1.11,8.83,12.76,15.93,19.14,-8.98,-13.72,-13.98,-20.36,-6.38,-4.77,-3.99,-2.22
沛亨,6291,-2.34,-8.57,-7.93,-16.1,-18.38,-14.54,-19.31,-16.95,-16.44,-18.33,-19.12,-13.97,-7.65,-3.08,-3.76,16.4,12.32,10.48,40.65
迅德,6292,3,4.64,10.28,0.02,-2.05,-6.13,-4.71,-0.35,2.58,9.18,13.03,-6.8,-6.61,-6.3,-7.01,-0.3,-4.12,-11.93,-20.76
智基,6294,12.63,14.38,18.89,61.36,82.49,100.75,89.72,53.2,37.28,31.36,29.21,37.42,35.09,40.1,37.22,101.28,94.76,102.24,98.34
崴強,6298,-7.59,-3.69,-1.79,-1.13,-0.8,2.57,-19.37,-23.52,-22.8,-22.05,-4.98,-5.42,-9.45,-5.23,-5.04,32.39,31.25,30.94,41.17
通訊-KY,6404,-24.47,-16.72,-2.08,10.15,-0.95,-4.4,-17.7,12.25,18.51,20.48,42.1,6.18,5.17,6.05,,137.3,,,
悅城,6405,-34.86,-33.93,-40.21,-34.49,-34.82,-36.65,-33.92,-5.41,-0.9,7.1,-5.12,7.4,12.14,12.16,33.31,85.96,,148.56,
旭隼,6409,0.46,2.61,5.07,19.58,22.57,26.06,28.36,22.43,21.13,19.66,13.37,15.29,16.22,15.68,19.05,38.41,,48.3,
晶焱,6411,20.91,18.67,22.42,28.71,20.07,31.46,54.88,19.63,21.41,15.59,2.37,0.68,-7.46,-18.15,,50.01,,49.73,
群電,6412,0.76,-4.68,-11.48,-1.83,-2.87,0.3,11.28,7.81,12.18,10.71,4.75,6.1,2.25,2.61,1.76,0.87,,2.97,
樺漢,6414,34.84,33.86,30.67,118.85,164.41,203.35,244.65,63.18,23.11,7.45,-9.07,36.46,60.17,90.96,112.69,61.91,,10.41,
矽力-KY,6415,49.67,44.62,45.73,43.64,43.84,52.61,60.24,56.8,64.32,60.91,50.54,52.29,51.24,51.86,76.47,186.13,,,
