company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
華固,2548,1061276,-72765,-35078,2662058,2253081,1889483,1169817,1438939,-170101,-313477,-64170,3130838,2930909,3017810,3129806,1679856,283024,237885,171515
綠意,2596,237159,71619,-4123,57392,49468,49917,59233,200823,197714,129129,51727,230409,116800,125369,124162,181945,72747,60287,41779
潤弘,2597,439959,177826,80955,800825,621203,316889,168229,1318994,975347,495427,224217,1199583,791494,455834,210322,289235,145760,78450,54428
益航,2601,-977848,-492330,-517375,-1339207,-964116,455065,297609,485535,418475,692199,419941,190014,43531,-145846,-55388,977122,597576,461023,476004
長榮,2603,-7457932,-5860169,-4587588,-4739297,-759593,1806574,1856562,2035049,961697,-1513967,-1926251,-2046804,-2436635,-2526155,-1956855,-418637,-300360,-2920177,-3910202
新興,2605,726487,598926,387744,1364205,1042010,626669,359580,1290182,997151,708170,432571,1701230,1202460,890957,459930,2369375,1813947,1237088,669192
裕民,2606,-1119855,-1126860,-647949,824397,610232,182139,64282,2088252,1764145,978459,361676,1566909,870872,437758,197537,1804247,1563105,1056038,579766
榮運,2607,604517,433998,196290,843287,649767,428596,196944,674798,446691,224441,117679,581298,441961,266162,131740,514076,448925,332768,147127
大榮,2608,1018308,754571,341727,1334321,1026238,704807,271062,990017,727133,437014,212900,902691,683755,416727,181412,810449,601883,372442,150129
陽明,2609,-12980174,-8450550,-3661306,-7788491,-3974607,223472,247691,436933,133614,-1307205,-1535621,-2909910,-4228456,-5298389,-2684641,65239,-2453287,-5186984,-5371864
華航,2610,1999069,1412188,1507465,5926210,5263789,3050515,1882204,-597488,-2419339,-3659562,-2701227,-948880,292356,-1171669,-1100256,242772,553120,-929243,-894225
志信,2611,-18725,25036,5721,32713,64955,30405,27772,62039,53183,-13122,-50,10987,-64081,-42862,2590,821885,934328,1080544,-31080
中航,2612,134142,112932,78822,332787,230347,129755,143353,332714,227609,127095,65410,396648,330161,192853,121580,572808,383972,255414,204009
中櫃,2613,29254,34140,2547,22485,2422,12107,-6582,112317,84653,47113,6118,80449,44059,28531,971,47537,20369,-181,-18561
東森,2614,364792,9302,-292272,-2336537,-945575,-586762,-470263,-3708173,-3198799,-2729200,-1503780,-231030,-178293,-715652,-920930,-3816122,-1913439,-1768408,-1278703
萬海,2615,354363,286212,15218,3930645,4216071,3164281,2075830,5317594,3584910,1756986,656568,2144182,900399,551912,113322,1832137,1441398,788264,-379065
山隆,2616,270486,162249,62205,222544,166952,103825,45575,236816,177629,93249,39391,259369,199137,113596,59295,285180,242593,152235,49506
台航,2617,-14575,2142,9027,93911,102326,50787,83438,305504,217379,172433,93008,542293,462638,405331,254156,630035,507406,373528,263126
長榮航,2618,5116642,2595235,1201439,6859210,6374880,3899702,2141433,-789918,-204956,-543602,-781121,1279725,1090509,-841568,-775895,1041083,1089246,-612274,-961437
台灣高鐵,2633,3127463,2221342,1113706,20872630,-790891,-561358,-408814,5534408,,5090916,,3288951,,2042226,,3576836,,1681025,
漢翔,2634,1503788,1064963,483793,2029169,1661883,868045,423427,1871503,1180582,839557,422318,1275864,1416058,981889,,1248298,,708789,
台驊,2636,96864,53719,6336,303900,236021,145515,45530,206665,179287,76126,13261,108691,99814,48962,4203,68876,45884,4624,-17286
慧洋-KY,2637,864756,844349,848199,2249398,1818614,1092310,533115,1803393,1187091,798933,575633,1498521,1048185,907347,539192,2153936,1535023,1238907,901583
大車隊,2640,104473,67964,44415,181585,157274,111836,49903,256409,180969,120819,58375,215613,156654,98093,42816,143467,109974,67297,42787
正德,2641,-13297,-17349,-13227,56464,17627,14683,3106,52924,35362,29011,15844,49269,35107,20040,-819,35759,,27747,
宅配通,2642,76225,68114,48040,101221,104607,97673,42521,155891,98571,80421,42768,184700,132941,104772,62675,242951,,97709,
捷迅,2643,113627,70285,37026,88087,61094,39050,13267,43096,,19277,,27670,,-1356,,56799,,,
萬企,2701,307942,185682,83200,328370,286692,169185,64822,280347,234942,137249,47806,206002,170337,94116,29108,209699,146909,107391,38215
華園,2702,52727,44179,20774,56771,51363,32349,17913,62846,44899,31272,12984,38068,34576,21169,14872,70613,59346,44241,7752
國賓,2704,316874,160684,115341,408598,340309,188945,119168,410339,345303,183951,120273,364322,287556,146041,95533,276608,206537,124205,68484
六福,2705,-295906,-197668,-68874,115777,236327,212876,222496,66597,-58365,-101241,-35096,-138945,-173105,-113926,-42352,-105449,-89650,-122353,-49685
第一店,2706,430170,270635,126485,458337,400229,242635,96770,396220,329274,194996,69368,303373,238791,133186,44148,279169,185558,136185,41281
晶華,2707,656541,453480,252509,1183670,816345,594129,301200,1137894,751186,524234,296152,1121433,768178,552131,315791,1070079,802046,548877,302616
遠雄來,2712,60462,24120,12037,88587,75636,29969,13187,98240,86640,25107,5157,65178,52381,2835,-4549,62659,,4911,
晶悅,2718,7678,11152,9607,34615,23196,17427,11490,25864,14860,12593,6174,3435,12352,11077,3823,30784,15654,14561,8469
燦星旅,2719,-26823,-17009,-3849,-15419,14232,22980,20639,29084,33265,13766,16233,62116,66660,30975,25793,17263,28016,4007,16839
夏都,2722,132794,62036,16762,162566,148820,60369,14777,172144,160975,62729,13314,141797,151196,56900,8505,141692,129640,45875,8982
美食-KY,2723,1259325,759756,379297,1166043,806910,386054,192135,543786,330496,198752,185761,604348,499634,335597,189391,1005702,837951,577631,330731
富驛-KY,2724,-359634,-120293,-61905,-149184,-74630,-8803,-48322,59024,46724,18585,-17701,51083,31274,6294,-17124,71659,60735,27554,166
雅茗-KY,2726,84996,41527,14616,68536,55642,20268,10781,60158,51123,28819,18238,69080,47121,8687,5829,55490,,,
王品,2727,441635,246655,122783,226964,413719,375982,232293,888853,815888,583518,340831,1115276,953505,650692,347294,1207212,956724,593142,322645
瓦城,2729,264490,170201,86547,279208,233882,161072,78106,253466,224266,147440,82314,244371,214396,139176,66481,185020,149277,86519,40603
雄獅,2731,229971,171161,75525,445586,407916,310087,135047,383025,328689,190495,82235,372534,300485,162962,88829,136670,,55633,
六角,2732,94572,42711,18994,138097,103853,55806,32080,133349,77881,47599,21200,140931,102765,80530,,126026,,59267,
