company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台聚,1304,54.61,18.01,14.13,144.5,62.23,175.56,115.72,-62.82,-48.91,-61.85,-71.2,-39.98,-49.65,-47.68,-43,-43.38,-39.67,-44.63,-40.25
華夏,1305,75.83,40.53,12.99,563.77,183.08,220.91,4.87,-84.98,-72.06,-73.69,-54.09,-14.02,-16.31,-4.46,-4.31,894.01,912.82,93.53,"1,024.86"
三芳,1307,12,26.4,34.78,13.59,16.11,0.9,7.42,21.4,30.74,37.18,20.17,14.12,10.85,13.33,28.64,5.07,11.07,2.08,-15.17
亞聚,1308,9.69,-1.77,-20.85,6.33,-3.11,12.52,15.34,-6.88,0.73,-7.3,-19.54,-13.26,-35.03,-32.33,-47.33,-61.83,-55.44,-60.35,-56.05
台達化,1309,-80.25,-76.76,-39.44,110.7,122.51,193.06,138.62,"-3,731.05",-517.67,-378.8,-506.52,146.15,279.65,176.04,-33.14,-123.52,-119.64,-146.23,-64.58
台苯,1310,75.48,15.74,"1,242.34","1,225.30",147.54,61.15,126.95,-105,-71.09,31.33,-49.66,315.2,284.61,153.61,123.04,45.71,42.17,38.28,32.48
國喬,1312,10.48,-21.45,83.75,236.69,179.01,356.8,109.21,-77.3,-66.37,-67.1,-28.28,11.35,-11.47,-41.99,9.94,46.21,35.79,73.29,-72.07
聯成,1313,88.19,-40.16,-63.22,29.29,498.13,598.81,154.11,-141.13,-88.35,-173.41,-195.56,-50.75,-59.08,-66.03,-60.36,14.11,0.45,-40.82,-19.77
中石化,1314,"-1,108.77",-367.64,-494.62,-71.9,-89.49,-67.24,186.78,-94.38,214.12,285.65,18.18,231.98,-155.8,-136.76,-112.39,-87.12,-80.1,-65.22,-32.79
達新,1315,4.38,61.83,891.82,8.56,30,84.02,199.68,32.22,-0.01,-74.56,-164.87,1.28,-23.38,176.04,-70.67,-75.28,-29.9,-33.59,"1,271.23"
上曜,1316,8.97,0.38,35.03,-245.02,32.79,26.33,-44.93,83.13,3.19,-5.24,-19.31,-45.09,-58.16,-86.18,3.77,-178.16,"-1,381.65",-328.29,-123.9
東陽,1319,65.28,105.7,47.59,81.72,14.58,-16,6.43,-31.9,-16.35,-9.48,20.83,80.57,81.06,88.54,9.06,-37.13,-34.2,-35.89,-20.91
大洋,1321,-26.35,-33.04,-16.38,125.6,178.34,204.96,192.19,"-1,197.93",-323.41,-398.41,4.48,111.22,147.23,112.55,193.2,24.09,56.33,35.26,99.06
永裕,1323,31.69,40.05,25.04,-15.34,-19.14,-22.54,-22.07,15.42,11.89,1.41,15.65,27.78,33.98,31.39,19.98,13.17,18.69,35.61,11.45
地球,1324,15.34,78.68,152.16,34.35,18.85,-12.91,-54.44,-1.04,5.52,-6.18,7.61,26.9,72.97,540.12,322.03,-47.51,-68.64,-83.97,-75.46
恒大,1325,8.46,84.99,92.07,73.51,164.19,118.44,-13.05,-21,-47.41,-58.85,-16.61,-1.75,-1.54,26.84,14.94,-38.25,-42.94,-56.24,-57.78
台化,1326,58.66,42.44,280.11,125.53,27.09,47.33,-67.43,-47.45,-15.78,-19.68,-25.98,213.74,400.07,696.38,147.43,-76.39,-88.13,-107.7,-82.47
恩得利,1333,"-2,788.47",-946.02,-615.59,65.49,98.54,96.6,105.93,-294.65,-790.44,-436.2,-922.77,59.17,118.71,138.92,121.5,26.01,5.38,13.74,1.55
台翰,1336,0.94,8.98,19.75,-275.03,-506.13,-421.12,-259.24,-736.34,266.01,553.51,268.31,112.21,63.56,84.47,230.6,"-1,869.41",-412.07,"-1,870.09",-130.81
再生-KY,1337,82.37,151.94,66.97,-65.54,-76.72,-83.99,-77.74,-11.97,-13.34,4.48,32.94,-14.24,-8.86,-18.49,-27.26,24.91,39.62,51.96,63.03
廣華-KY,1338,-19.25,-16.23,-1.27,18.95,25.16,26.82,44.03,37.64,65.95,107.45,148.16,45.12,-13.22,-34.18,-44.15,-45.51,-26.94,-18.35,-35.15
昭輝,1339,-51.37,-21.46,-30.37,15.7,12.85,-16.47,-11.22,37.29,42.63,27.37,17.69,30.06,31.6,64.03,85.85,-1.5,-2.92,-1.77,-2.9
勝悅-KY,1340,8.89,18.78,12.91,-7.65,-3.32,-10.04,-19.23,33.2,33.59,43.24,41.51,32.22,30.02,23.74,,17.78,,,
遠東新,1402,-26.59,-40.37,-44.52,-13.65,-13.05,2.33,30.42,-18.79,-0.08,3.07,-1.96,86.96,62.31,55.86,-13.71,-15.2,-20.28,-17.38,-28.74
新纖,1409,-31.92,19.74,-13.52,-52.77,-37.55,-68.63,-67.78,2.33,10.31,27.95,125.99,49.05,76.3,125.2,145.58,-10.81,-31.75,-49.99,-52.02
南染,1410,-5.56,6.39,33.41,15.29,20.59,50.7,47.9,9.71,5.73,-13.32,-17.16,-18.87,-22.35,-21.4,26.2,21.31,24.09,18.41,-29.16
宏洲,1413,-46.93,-347.18,89.86,101.36,83.29,110.42,33,17.05,18.7,62.29,31.71,-11.63,-87.78,-172.41,-2.2,-188.11,-646.26,-300.21,-190.73
東和,1414,8.44,71.62,74.22,-84.26,-142.95,-169.75,-177.04,-66.34,-82.92,-65.95,-34.13,48.28,69.36,127.38,28.36,-92.27,-94.38,-92.74,-94.21
廣豐,1416,"4,394.17","1,042.80",147.55,-107.35,-87.22,133.55,470.52,656.26,288.68,156.95,-324.11,-94.31,-112.51,-107.83,-186.14,359.01,271.73,189.2,106.64
嘉裕,1417,62.97,85.37,-30.49,"-1,421.61","-6,031.39",-358.74,-208.45,75,105.45,205.75,966.19,-90.08,-162.04,-143.28,-108.87,-33.61,-13.62,-6.38,297.21
東華,1418,-3.87,36.18,57.8,-12.43,-15.14,-67.76,-47.58,-30.89,-2.27,19.38,-68.17,35.9,45.14,13.21,-168.75,-521.33,"-1,358.83",-276.04,-4.24
新紡,1419,3.09,42.48,37.11,6.84,-8.27,-175.57,-116.86,-36.57,-18.32,-44.9,9.13,-6.78,4.42,454.89,-241.08,-29.03,-26.5,-51.16,47.74
利華,1423,166.81,498.46,126.54,51.76,70.63,94.77,55.6,"-1,902.92",-152.6,-170.12,-295.96,96.34,74.95,43.32,32.62,-290.01,-228.57,-145.82,50.26
大魯閣,1432,-230.98,185.94,211.83,5.39,31.89,66.5,-31.68,-27.93,19.64,-70.97,-3.99,-119.88,-13.25,-12.82,-33.81,"1,692.20",-197.92,-219.15,-146.28
福懋,1434,34.73,-10.55,18.54,-15.6,-17.77,-1.31,4.31,75.46,84.27,15.49,12.27,-15.37,-30.38,2.27,7.35,0.74,19.41,-43.66,-43.91
中福,1435,"-1,130.22","-17,310.53",-952.42,-118.55,-35.84,216.67,"24,000",85.28,139.86,100.41,100.25,"-1,194.07",-125.42,-121.37,-29.27,126.56,28.29,317.01,41.57
華友聯,1436,182.32,156.56,-211.36,-111.85,-114.98,-113.41,-462.75,"3,008.09","1,827.59","1,971.07",163.27,83.57,77.72,90.17,-44.58,-117.1,47.36,-8.35,98.19
勤益控,1437,436.11,548.01,78.2,-75.7,-64.73,-73.49,-64.37,136.37,247.66,442.76,355.98,"-4,287.83",-283.65,-772.54,-261.12,106.88,33.81,-147.2,-3.99
裕豐,1438,-122.7,-122.08,-110.86,201.21,610.06,646.99,"1,723.82",-87.75,-113.55,-112.4,-123.89,195.86,46.08,159.25,293.35,-69.43,-61.52,-84.18,-104.38
中和,1439,-370.22,"-1,340.84","-1,788.32",-17.04,135.89,111.4,107.25,-52.97,-195.01,-325.87,-203.11,119.53,130.58,131.45,16.23,89.48,92.95,93.71,75.14
南紡,1440,-60.81,-69.68,-94.2,204.1,176.11,164.67,79.31,-68.35,-66.9,-69.04,-67.96,77.13,131.24,277.85,"1,149.26",20.95,105.75,-84.8,-106.47
大東,1441,-174.11,-130.45,20.47,57.04,44.77,12.49,-106.98,"-1,494.15",-867.66,-848.54,-373.72,73.25,57.43,172.95,118.13,-94.12,-114.22,-101.88,-112.01
名軒,1442,22.91,-62.94,-78.25,35.55,62.66,54.13,-70.04,-68.12,-78.49,-77.55,-60.42,318.49,367.52,301.25,121.2,-55.76,-46.8,-30.95,-44.06
立益,1443,-106.31,-39.06,-40.07,13.87,65.6,22.25,-26.21,-36.34,-224.11,-322.38,-797.1,44.57,35.3,77.08,90.51,-56.76,"-1,965.72",-325.6,-201.04
力麗,1444,-140.66,-71.74,-107.15,76.28,111.08,184.84,-15.53,-66.66,-74.15,-79.23,-47.07,-25.35,-32.34,"236,402.74",-73.74,-1.46,-47.82,-116.33,-27.37
大宇,1445,-23.94,-1.74,-19.4,208.5,221.58,97.65,53.14,-55.48,-62.42,-49.54,-38.58,149.63,132.26,93.74,79.22,-77.51,-73.94,-70.92,-66.56
宏和,1446,"9,870.44","1,751.17",-46.31,-387.89,-102.92,-95.47,-66.79,216.04,264.61,28.22,24.94,60.49,161.86,71.77,-55.63,-107.19,-101.54,-98.31,45.08
